"edad","ingreso_total","nivel_estudio","tamaño_hogar"
66,3779638,5,1
31,3434252,5,5
39,4305205,5,4
27,4629916,4,6
73,2991393,4,1
75,3495240,5,1
77,4222371,5,6
73,3744519,5,6
53,5205514,5,5
21,2605101,5,1
64,4078823,4,5
72,2992867,5,3
30,4606129,5,1
50,3939434,5,4
60,3693836,5,3
44,3720916,4,3
76,4029165,5,5
26,3750020,5,6
77,4026071,4,5
58,3691668,5,1
59,4030426,5,2
33,3553983,5,4
50,2946997,5,2
48,4055176,4,2
48,4453344,4,2
55,3298160,4,6
54,4040912,5,2
29,3701173,5,6
68,4572847,5,6
27,5721636,4,6
36,5435950,4,6
67,5684320,5,3
71,5345573,4,4
52,3336889,4,3
29,2810216,5,4
40,3676004,4,6
24,3241039,5,5
67,3205031,4,1
57,4196640,5,2
71,5042855,5,5
53,4067493,5,6
68,3068385,5,2
55,4972569,4,4
55,4343721,5,1
53,4610561,5,2
28,3888192,4,5
57,3415444,5,6
74,5066789,5,3
35,5101903,4,6
19,3802760,5,6
59,4162258,5,5
59,4492673,4,6
79,4226280,4,4
67,3914032,4,1
38,2005043,5,3
65,4298775,4,4
50,4179463,4,2
65,2941034,5,5
40,3229463,5,1
75,4798942,5,2
56,4086738,5,2
63,3972885,5,5
58,3593274,4,5
66,3803772,4,6
48,4107444,4,2
77,3145675,4,4
24,1767858,4,6
71,4314089,5,3
66,5144453,5,2
34,2421596,4,3
28,3417728,4,1
21,4721921,4,3
64,4234310,4,3
33,4773643,4,2
24,3514646,4,1
68,3666690,4,6
39,4299788,5,1
64,5164632,5,2
55,3103150,4,6
55,4398833,5,1
22,3883648,5,5
37,1865804,4,1
27,4356295,4,1
34,4244616,4,1
19,3849012,5,4
24,4399553,4,4
29,5399105,4,2
34,2964058,4,5
70,3960436,5,6
39,4980557,5,6
35,2374074,5,6
62,3056816,5,3
42,3951923,5,4
58,3856339,5,2
31,4070640,4,2
48,3582639,4,1
35,4543392,5,5
53,5510090,4,2
54,4619281,4,4
36,4224467,4,6
67,4085036,4,2
28,3132457,5,6
76,4751093,4,1
47,2635544,5,4
23,4280147,4,5
39,4489433,4,1
80,5823096,4,5
60,2815224,5,5
26,4812321,4,2
42,4187484,4,6
80,5092740,4,4
64,4460080,5,1
49,4096563,5,3
54,4162481,5,6
31,4180153,5,5
35,1903649,5,1
35,3515500,4,6
33,4235885,4,3
59,4502287,4,5
77,4668454,4,2
19,4209804,5,4
76,4929066,4,4
53,3726751,5,1
21,4499622,4,1
65,1733702,5,1
45,4489123,5,3
65,3203342,4,5
71,4609385,4,6
18,3117779,4,4
72,3583727,4,4
24,4183673,4,1
27,3475166,5,4
51,3281513,5,1
64,4728400,4,2
62,4579163,4,6
39,2823500,5,4
66,2887409,4,6
19,4613693,4,3
77,4125277,4,2
74,3709451,4,4
35,2426196,5,5
27,3040769,4,3
28,3864918,4,4
28,2906830,4,6
41,3464163,5,1
52,4737591,4,5
72,2892568,4,4
49,3742744,4,1
47,4118713,5,3
77,3924114,5,1
54,4517706,4,6
33,2837842,5,4
72,4745594,4,5
74,3186723,4,3
77,2904434,4,2
51,3615089,5,1
39,4297570,4,4
35,3798216,5,2
33,5184250,5,3
53,3453997,4,6
21,5546489,5,1
64,4449513,4,2
28,4196429,4,3
53,2396076,4,3
76,4290756,4,3
52,3248082,4,1
34,5011498,5,3
53,2894130,4,2
77,3967549,4,3
68,5623133,4,5
77,5461344,4,2
45,5691311,4,6
59,2979297,4,6
36,3543016,5,5
68,3656550,5,3
70,3687410,5,3
30,4427592,4,4
73,3663937,5,2
58,4798789,5,2
67,4063343,5,3
44,3031174,4,6
25,4594618,4,5
22,5235164,5,4
21,3561557,4,1
36,2978826,4,4
40,3713081,4,3
70,6122681,5,4
43,3933228,5,5
56,4470328,5,1
78,4417943,4,3
55,4508971,4,1
23,4840453,4,2
71,4900497,5,6
72,4072905,4,1
67,3998525,4,1
24,3114709,5,5
44,2563064,4,1
65,4976728,4,4
48,4022420,4,2
78,3415913,5,3
41,2596946,4,6
43,4092497,4,1
66,5335261,5,4
68,5750624,4,6
76,3936191,4,5
75,3422707,5,2
35,3833439,4,5
43,3290828,4,2
60,3910213,4,3
29,5037565,5,4
55,4291616,5,6
20,4485920,5,1
31,3473370,4,1
31,4352550,5,6
64,4522971,5,6
39,2161977,4,5
80,4592254,5,4
75,4943265,5,6
31,4783205,4,3
70,3929142,5,3
32,3129866,5,4
60,3556602,5,5
39,4768544,5,1
60,3373835,4,6
34,2891523,5,4
30,4353553,5,1
42,4847485,4,5
44,4499690,4,1
75,4860994,5,6
51,2717915,5,3
42,4002752,5,3
20,4425116,4,6
22,4337427,4,6
29,3891257,5,5
31,3078183,4,4
18,5771959,5,5
57,5416763,5,3
71,3493045,4,2
40,4008310,5,4
66,5107697,5,1
32,1706765,4,1
62,3468277,4,6
64,3659393,5,4
51,3707042,4,2
70,2692313,4,1
50,2891473,5,1
56,2650671,5,1
52,3402604,5,5
51,4282128,5,4
63,2987804,4,2
34,3738186,4,2
50,4809155,5,3
74,2424828,5,4
18,4830481,4,5
35,3620895,5,4
31,4301570,4,1
62,5207090,4,3
62,4170734,5,1
49,2681992,4,1
70,4442440,4,5
25,4263442,4,6
20,3719044,5,5
64,5216926,4,3
40,5155351,5,1
41,3285400,4,2
56,3474556,4,3
22,5536452,5,2
44,5142985,5,4
58,5414038,4,1
68,2700747,4,6
64,3246265,5,1
62,3749646,4,3
27,2529089,5,5
22,2281645,4,1
49,3778136,4,1
25,3874269,5,3
23,4671847,4,1
19,2994116,4,2
38,3825625,4,5
55,5140940,5,3
76,3112934,5,2
78,3772298,4,5
53,4342941,5,5
78,3983313,5,5
56,3386458,5,3
20,4672283,4,3
37,3435724,5,6
66,4757367,5,3
54,5356861,5,1
