"edad","ingreso_total","nivel_estudio","tamaño_hogar"
23,4365697,2,5
29,3056409,3,1
30,2897534,1,1
55,3860647,3,2
78,4000316,1,2
66,3779638,5,1
43,2891624,3,1
31,3434252,5,5
50,4025648,1,4
39,4305205,5,4
27,4629916,4,6
79,5143308,3,3
73,2991393,4,1
61,3641739,2,5
38,5277596,3,1
75,3495240,5,1
77,4222371,5,6
56,4200703,2,1
37,4944867,2,6
73,3744519,5,6
53,5205514,5,5
32,4875827,1,2
41,3927068,2,6
54,3971372,2,2
21,2605101,5,1
49,4514870,1,2
64,4078823,4,5
72,2992867,5,3
39,4259920,1,3
18,5419269,3,5
30,4606129,5,1
50,3939434,5,4
60,3693836,5,3
44,3720916,4,3
58,3590554,3,6
76,4029165,5,5
35,3234113,3,3
36,3265666,2,1
26,3750020,5,6
77,4777661,1,1
42,4112982,1,1
77,4026071,4,5
58,3691668,5,1
59,4030426,5,2
33,3553983,5,4
50,2946997,5,2
33,1944398,1,6
57,4087989,3,5
79,4457600,2,5
48,4055176,4,2
69,3918414,3,1
44,3875318,3,5
48,4453344,4,2
21,3575417,3,2
68,2568029,3,1
55,3298160,4,6
77,3530927,1,6
54,4040912,5,2
29,3701173,5,6
75,5117197,2,3
68,4572847,5,6
48,5629368,1,2
20,3173075,2,4
27,5721636,4,6
21,3780164,3,2
36,5435950,4,6
37,3741363,3,1
67,2982916,2,1
67,5684320,5,3
71,5345573,4,4
52,3336889,4,3
29,2810216,5,4
40,3676004,4,6
42,3808079,3,4
40,3196986,3,6
24,3241039,5,5
67,3205031,4,1
28,3494561,2,2
57,4196640,5,2
71,5042855,5,5
58,4308555,2,2
78,4686025,1,6
48,3819859,1,2
53,4067493,5,6
68,3068385,5,2
55,4972569,4,4
40,4490843,1,2
28,5060247,2,3
55,4343721,5,1
30,4193407,3,2
53,4610561,5,2
28,3888192,4,5
23,4143351,2,5
77,3764086,1,6
69,3646075,3,6
73,4062368,2,5
57,3415444,5,6
77,4652203,1,3
74,5066789,5,3
70,3854781,2,4
35,5101903,4,6
39,5197482,2,1
37,4230445,1,2
34,4265391,2,4
52,4396974,1,4
19,3802760,5,6
29,3933606,2,4
59,4162258,5,5
67,4990352,3,5
57,3780105,2,2
36,2856646,1,4
59,4492673,4,6
79,4226280,4,4
61,4748648,1,1
67,3914032,4,1
38,2005043,5,3
65,4298775,4,4
50,4179463,4,2
79,2952719,2,5
66,4807990,1,1
46,4025685,3,2
33,3308930,2,3
65,2941034,5,5
20,3082955,2,6
30,3795402,1,1
51,4387077,3,2
20,3291379,2,1
39,2976222,3,3
50,3233807,1,6
47,2777047,3,2
58,2687962,3,3
26,3238613,3,6
40,3993557,1,6
42,2665065,2,2
31,2704379,2,6
40,3229463,5,1
75,4798942,5,2
68,5199603,1,6
56,4086738,5,2
63,3972885,5,5
35,5226378,3,3
73,4031676,1,4
58,3593274,4,5
32,4035386,3,4
74,2242140,3,6
68,4682539,2,3
66,3803772,4,6
53,3049516,1,5
75,4541959,3,2
50,2564826,3,1
48,4107444,4,2
53,2746295,1,6
60,5294788,1,4
79,3292683,3,5
66,4863813,2,1
77,3145675,4,4
24,1767858,4,6
71,4314089,5,3
66,5144453,5,2
34,2421596,4,3
27,2754793,1,1
28,3417728,4,1
65,4295806,2,4
21,4721921,4,3
28,4338494,2,1
72,2860306,2,1
76,4673785,1,4
35,3736499,3,4
64,4234310,4,3
33,4773643,4,2
50,4846109,2,3
24,3514646,4,1
53,3528353,2,6
77,3807656,1,1
68,3666690,4,6
60,4136025,1,6
37,4183532,1,1
39,4299788,5,1
64,5164632,5,2
55,3103150,4,6
55,4398833,5,1
28,3064519,1,6
22,3883648,5,5
58,5207339,1,2
56,2624886,2,2
37,1865804,4,1
31,4761671,3,1
68,4608121,3,4
28,4401737,3,5
36,4351817,3,1
27,4356295,4,1
69,1933548,1,5
32,2905596,2,3
26,5128692,1,5
54,4401617,2,1
34,4244616,4,1
66,4290109,3,2
24,2548176,3,5
26,2957164,3,3
19,3849012,5,4
24,4399553,4,4
47,3468706,1,3
29,5399105,4,2
34,2964058,4,5
70,3960436,5,6
31,3715917,1,3
75,3718206,1,2
48,4263444,2,6
56,5619513,1,6
29,2145284,2,2
42,4757812,3,1
39,4980557,5,6
76,3829604,2,2
35,2374074,5,6
62,3056816,5,3
42,3951923,5,4
58,3856339,5,2
79,5034776,3,6
31,4070640,4,2
35,4622836,1,5
48,3582639,4,1
58,2319000,2,6
35,4541405,1,1
35,4543392,5,5
68,4786995,3,5
53,5510090,4,2
78,4017379,2,6
54,4619281,4,4
27,4048567,1,3
36,4224467,4,6
67,4085036,4,2
28,3132457,5,6
76,4751093,4,1
47,2635544,5,4
55,5222569,2,2
57,2658123,3,6
37,3221896,2,4
77,4645908,2,3
23,4280147,4,5
39,4489433,4,1
80,5823096,4,5
60,2815224,5,5
26,4812321,4,2
42,4187484,4,6
59,4419391,1,6
41,3353977,3,2
80,5092740,4,4
64,4460080,5,1
49,4096563,5,3
54,4162481,5,6
60,2346246,2,2
78,3845853,3,5
31,4180153,5,5
35,1903649,5,1
35,3515500,4,6
71,3608424,3,4
27,4717997,2,5
49,3880166,3,4
33,4235885,4,3
27,3781326,1,6
59,4502287,4,5
77,4668454,4,2
19,4209804,5,4
20,3986078,2,1
57,4602803,1,3
53,4296117,2,3
62,4392218,1,4
76,4929066,4,4
67,2705546,2,4
57,4624012,3,3
53,3726751,5,1
76,5574896,2,3
75,2508554,2,4
21,4499622,4,1
65,1733702,5,1
45,4489123,5,3
51,3949641,3,6
65,3203342,4,5
53,4346562,2,5
71,4609385,4,6
77,4507806,1,5
74,5431854,2,3
67,4424251,1,4
59,4168644,2,1
79,3580433,3,6
18,3117779,4,4
31,3563681,2,1
31,3508061,1,1
72,3583727,4,4
66,5351916,3,1
58,3396835,2,2
24,4183673,4,1
27,3475166,5,4
46,2421972,3,4
51,3281513,5,1
64,4728400,4,2
28,3511276,1,6
57,3903796,1,3
29,3778416,2,6
62,4579163,4,6
39,2823500,5,4
66,2887409,4,6
46,3987461,3,5
64,4176423,1,2
19,4613693,4,3
56,4699697,2,6
21,4338352,2,3
60,5452234,2,3
66,4139359,3,4
77,4125277,4,2
74,3709451,4,4
35,2426196,5,5
19,4193271,1,4
32,4744531,2,5
52,4202784,2,2
27,3040769,4,3
28,3864918,4,4
51,4363694,2,6
49,5286690,2,1
28,2906830,4,6
19,3099963,1,5
60,2567219,2,4
33,3256629,1,6
30,4807570,3,2
39,5607825,2,6
41,3464163,5,1
80,4868668,1,1
49,4389592,2,5
52,4737591,4,5
60,2503900,1,1
64,3153327,2,2
28,4748517,1,5
42,3566693,3,3
72,2892568,4,4
49,3742744,4,1
47,3780773,2,5
47,4118713,5,3
42,3770614,2,2
67,3273784,2,1
69,4420734,2,3
70,3567475,2,4
29,4136100,1,5
46,4947113,1,3
77,3924114,5,1
54,4517706,4,6
33,2837842,5,4
72,4745594,4,5
59,3817526,2,5
74,3186723,4,3
66,3172121,1,1
77,2904434,4,2
76,3674373,2,3
80,3231953,3,5
32,3171953,2,1
62,4289037,2,4
28,4802351,2,2
51,3615089,5,1
64,3231422,1,4
39,4679013,3,2
39,4297570,4,4
35,3798216,5,2
33,5184250,5,3
53,3453997,4,6
52,4139117,1,2
19,3817160,2,6
20,4068140,3,1
56,3927854,1,5
25,4242589,3,3
53,3915207,1,1
43,4183029,2,5
40,4073201,1,3
55,3511448,2,3
55,4450301,1,4
45,3319133,1,1
80,3018865,1,3
21,5546489,5,1
64,4449513,4,2
80,3370436,3,1
20,3208920,2,1
28,4196429,4,3
58,5653314,1,2
40,4571330,2,5
71,5619600,3,1
53,2396076,4,3
76,2774774,1,3
44,5676589,3,3
44,4692630,2,2
32,4041286,2,3
34,3287916,3,1
70,4485800,1,5
58,4169920,2,4
76,4290756,4,3
67,4509651,1,5
55,4506288,2,4
73,4236366,2,5
25,3753346,3,4
70,4695624,1,2
52,3248082,4,1
52,2897766,1,1
73,5873303,2,3
76,2789867,1,5
34,5011498,5,3
53,2894130,4,2
49,2954192,3,5
77,3967549,4,3
67,2661716,1,5
68,5623133,4,5
75,3788137,1,1
55,2804712,1,6
47,4587725,3,5
73,3937539,2,2
55,3764380,2,2
51,5169442,2,4
77,5461344,4,2
59,4884072,2,6
45,5691311,4,6
30,2984093,1,2
29,3982753,2,5
24,3824776,3,4
18,3953998,3,4
21,4448427,3,3
59,2979297,4,6
59,3525563,2,5
36,3543016,5,5
68,3656550,5,3
70,3687410,5,3
30,4427592,4,4
73,3663937,5,2
60,4029222,3,5
58,4798789,5,2
67,4063343,5,3
79,4026370,1,3
44,3031174,4,6
25,5368551,1,6
46,2499622,3,3
25,4594618,4,5
25,4748157,1,2
22,5235164,5,4
21,3561557,4,1
79,4747559,3,6
36,2978826,4,4
76,4313168,3,2
57,3304501,1,6
40,3713081,4,3
70,6122681,5,4
71,4702366,1,1
50,3532533,2,4
43,3933228,5,5
45,4525524,3,1
74,3450179,1,5
56,4470328,5,1
22,4758798,1,4
57,3520040,2,1
52,5001716,3,4
43,2849060,3,3
21,5086181,3,3
21,4290920,1,1
78,4417943,4,3
55,4508971,4,1
23,4840453,4,2
73,6141965,3,6
50,3627926,3,4
